"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"h>A1BG",2.38598257799858,-0.00290516550486932,0.0472246270142658,-0.0615180190622092,0.950946664447587,NA
"h>AAAS",0.227288661644747,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>AAK1",1.08030091192487,0.00574419251510448,0.0825199439964716,0.0696097481034415,0.944504277899465,NA
"h>AARS",0.349648398735998,0.00792250070244428,0.0492040093255332,0.161013316009049,0.872082912826188,NA
"h>ABAT",0.353218049295766,0.00797288557245577,0.0493577375246936,0.161532638493953,0.8716739070829,NA
"h>ABCA1",0.604222112388502,-0.0218155773845153,0.0656027228591903,-0.332540730532485,0.739480989340827,NA
"h>ABCA2",1.10789197731508,0.00719020459601394,0.099526631156964,0.0722440266733657,0.942407708467764,NA
"h>ABCA3",0.841577634309146,0.0122242966348119,0.0874287231353688,0.139820143728791,0.888802097242612,NA
"h>ABCA5",0.862866489750119,-0.0346019080266052,0.0935002334345165,-0.370072958703776,0.711328129847735,NA
"h>ABCA6",0.446488942531024,0.0448410966590254,0.0523576653715878,0.856438046669642,0.391755527424304,NA
"h>ABCB4",0.224562834017056,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ABCB7",0.348777531944442,0.00791016904840778,0.0491663064584069,0.160885972898931,0.872183210384487,NA
"h>ABCC1",0.237814477687458,-0.00267997343889962,0.0442580081867004,-0.0605534127879021,0.951714876604979,NA
"h>ABCC10",0.229925387147834,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ABCC5",0.374468971600034,-0.0208070328836498,0.0586047396719083,-0.355040104266915,0.722559546968529,NA
"h>ABCD3",3.78175065083697,0.0370178823386847,0.143339891884352,0.258252478441598,0.796212059192441,NA
"h>ABCD4",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ABCE1",0.860703733536899,0.0124559285526791,0.0875690236223401,0.142241263376396,0.886889439667059,NA
"h>ABCF1",0.237814477687458,-0.00267997343889962,0.0442580081867004,-0.0605534127879021,0.951714876604979,NA
"h>ABCF2",0.484509990077564,-0.00464747248213361,0.053303607569919,-0.0871887043674757,0.930521517773082,NA
"h>ABCF3",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ABHD2",0.615248941580559,-0.0262251934500692,0.0735038714470116,-0.356786560133431,0.721251598439168,NA
"h>ABHD5",0.243177030818236,-0.00272019901159456,0.0445846591447948,-0.0610119952416893,0.951349656032444,NA
"h>ABI1",0.346552717466097,0.0417371862188852,0.0574712412531213,0.726227332294105,0.467699418858128,NA
"h>ABI2",0.232952937706026,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ABI3BP",0.947809337561532,0.0286802799402397,0.0899944473510459,0.31868943900911,0.749962023865544,NA
"h>ABL1",0.832405765953223,0.00950034018245677,0.0791216840499868,0.12007252242577,0.904425698813346,NA
"h>ABL2",0.232952937706026,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ABLIM1",1.36561074085099,-0.0625430208340806,0.0969837128598477,-0.644881691882247,0.519003856950915,NA
"h>ABLIM3",0.372614010763899,-0.020740755369304,0.058513449305332,-0.354461335223559,0.722993175438597,NA
"h>ABP1",0.237814477687458,-0.00267997343889962,0.0442580081867004,-0.0605534127879021,0.951714876604979,NA
"h>ABR",0.970733862737203,0.0390165683438575,0.101933686645841,0.382764222777665,0.701894591035537,NA
"h>ABT1",0.237814477687458,-0.00267997343889962,0.0442580081867004,-0.0605534127879021,0.951714876604979,NA
"h>ACAA1",0.521820981715118,-0.0516571458604236,0.0696027293203879,-0.742171267776597,0.457983574467399,NA
"h>ACACA",1.00716390544753,-0.0620575870951187,0.0983653166447435,-0.630888906902481,0.528113165601046,NA
"h>ACADL",0.45553108936292,-0.0296562242691623,0.0440863492650921,-0.672684964020017,0.501147735341023,NA
"h>ACADM",0.283135637236104,-0.0232233803163106,0.0467079430383851,-0.497204090045784,0.619045137496228,NA
"h>ACADVL",0.691469765197497,0.0531589114363216,0.0675498177444015,0.786958621227773,0.431306089301105,NA
"h>ACAP1",0.238685344479014,-0.00268655585394409,0.0443116340121988,-0.0606286794390044,0.951654932642571,NA
"h>ACAP2",0.697555063888884,0.0170591328885657,0.058144446667641,0.293392299114604,0.769222311018276,NA
"h>ACAT2",0.340888441404818,0.0415014805765309,0.0573122681473308,0.724129089950592,0.468986486978024,NA
"h>ACBD3",0.482706198229327,-0.00722565131764401,0.068671571434728,-0.105220416056912,0.916200910974418,NA
"h>ACBD4",0.636342797254644,-0.0336285158030238,0.0799018562495424,-0.420872772942823,0.673847987865413,NA
"h>ACBD5",0.612455149447289,0.00787438404333993,0.0647166718471616,0.121674737259921,0.903156621301224,NA
"h>ACE",1.02594980240851,-0.0565750858067436,0.0927986330826722,-0.60965430122599,0.542090832726337,NA
"h>ACHE",0.900494384047358,0.00743015869056862,0.0878347660479366,0.0845924572340017,0.932585395829628,NA
"h>ACIN1",3.7252917156282,0.162677665742048,0.145275839807936,1.11978472096336,0.262805511786618,NA
"h>ACLY",0.591954562762678,0.0108029577354941,0.0650006898454744,0.16619758592064,0.868001459184656,NA
"h>ACO2",0.224562834017056,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ACP1",0.6064210197438,0.0427182479881076,0.066325560627988,0.644069158008465,0.519530588986966,NA
"h>ACRBP",0.227288661644747,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
